	Aorta1	Aorta2	Aorta3	Aorta4	Aorta5	Aorta6	Aorta7	Aorta8	Aorta9	Aorta10	IMA1	IMA2	IMA3	IMA4	IMA5	IMA6	IMA7	IMA8	IMA9	IMA10	Radial1	Radial2	Radial3	Radial4	Radial5	Radial6	Radial7	Radial8	Radial9	Radial10	Vein1	Vein2	Vein3	Vein4	Vein5	Vein6	Vein7	Vein8	Vein9	Vein10
CRAC1	187.6	33.1	5.0	28.1	106.0	61.0	13.5	45.3	186.5	55.2	22.9	28.0	196.8	19.2	24.7	52.3	241.1	73.5	11.3	17.1	722.5	55.2	59.7	10.2	186.1	38.6	142.4	29.0	180.5	26.6	24.5	5.9	308.8	27.4	30.0	65.0	370.7	243.3	27.8	37.6
CSPG2	243.5	32.3	29.7	92.5	221.0	133.5	47.5	93.3	156.8	114.9	69.1	69.6	319.0	22.9	39.9	96.0	206.2	57.8	58.7	128.7	255.6	45.6	22.0	77.4	89.8	83.8	120.3	109.2	95.3	16.4	24.0	91.0	136.4	101.3	26.1	129.7	128.8	71.4	25.0	118.0
DAG1	190.2	46.4	26.5	38.1	49.8	337.5	27.1	40.4	194.1	71.1	41.5	8.1	201.8	17.2	79.5	31.8	79.7	49.3	35.3	55.3	252.2	17.6	81.4	108.1	114.2	58.4	558.6	23.5	202.6	24.5	62.5	46.6	187.2	72.5	36.2	87.6	120.6	157.0	74.9	93.3
DEF1	262.6	33.1	24.5	35.1	158.3	97.9	26.4	15.4	453.3	20.7	22.4	11.5	212.6	20.9	35.0	46.6	262.3	105.8	20.9	28.1	674.4	28.1	13.2	16.9	80.1	25.5	30.1	52.9	135.9	41.4	24.3	33.7	292.1	15.5	26.0	26.7	345.4	167.8	49.9	26.7
DERM	198.6	26.1	28.4	46.0	147.3	179.9	70.4	45.0	317.1	17.9	38.9	16.8	165.6	20.8	43.1	82.7	206.2	296.4	38.6	57.0	508.5	26.3	5.0	61.3	66.1	39.3	44.9	99.4	141.8	50.4	67.4	81.9	202.4	49.5	49.3	61.3	132.6	51.4	106.8	111.7
EMIL1	377.8	88.3	8.8	10.8	191.6	56.3	39.1	11.5	442.5	55.2	24.6	5.5	343.6	34.0	65.7	10.6	172.2	68.4	32.1	10.6	400.8	57.5	33.4	7.1	107.5	23.5	32.9	24.6	116.5	22.1	24.6	8.3	286.8	19.5	22.4	9.4	237.6	471.7	29.9	14.6
FGL2	33.2	99.3	150.5	33.4	71.9	94.2	73.0	45.9	31.6	108.6	128.9	60.7	38.7	396.1	116.5	23.5	24.0	489.3	53.8	38.7	46.9	45.4	117.5	19.7	48.7	232.2	154.2	48.7	68.1	184.9	87.5	39.9	51.9	166.8	152.7	54.0	53.2	112.4	164.5	38.8
FIBA	95.8	84.8	118.1	50.4	88.9	188.2	20.3	113.4	151.4	18.4	51.29151274204217	16.1	91.6	23.8	99.6	136.7	103.0	586.4	67.4	68.8	251.4	47.7	31.3	21.2	89.3	86.2	61.7	20.8	184.5	101.1	108.0	32.6	222.9	36.9	61.6	52.3	225.5	167.9	45.4	28.6
FIBB	194.2	77.4	18.894602416216078	17.4	270.0	37.6	12.3	13.7	282.1	40.3	7.7	1.5	84.7	28.5	40.5	9.7	273.5	28.1	7.6	2.8	432.8	80.1	11.1	22.6	89.0	17.2	91.8	15.2	385.4	13.3	27.5	13.5	687.1	15.1	18.6	34.7	443.5	139.0	1.7	31.5
FIBG	250.6	78.0	89.1	77.2	124.9	37.3	65.7	114.8	64.0	28.5	50.0	87.5	193.0	96.6	54.1	100.8	296.1	44.4	75.6	128.5	259.6	52.8	16.6	7.2	198.4	57.2	56.1	31.1	116.8	76.8	79.6	63.7	132.4	45.0	77.7	120.3	185.3	250.4	70.6	45.7
