	Aorta1	Aorta2	Aorta3	Aorta4	Aorta5	Aorta6	Aorta7	Aorta8	Aorta9	Aorta10	IMA1	IMA2	IMA3	IMA4	IMA5	IMA6	IMA7	IMA8	IMA9	IMA10	Radial1	Radial2	Radial3	Radial4	Radial5	Radial6	Radial7	Radial8	Radial9	Radial10	Vein1	Vein2	Vein3	Vein4	Vein5	Vein6	Vein7	Vein8	Vein9	Vein10
GDF10	9.1	15.7	60.4	65.6	295.4	91.8	168.3	47.7	5.0	115.7	179.4	14.0	41.2	186.6	115.5	11.5	28.5	15.5	115.1	23.4	46.5	14.9	124.8	25.2	71.9	77.8	21.4	166.4	59.6	55.0	118.4	28.0	35.7	83.6	182.7	175.5	449.7	17.8	615.1	24.6
GELS	214.8	40.4	16.1	142.6	185.6	80.6	156.8	53.6	192.8	68.6	97.4	65.9	198.6	43.1	94.7	135.1	221.3	10.2	91.2	109.8	138.7	118.6	59.2	101.8	70.2	16.2	59.3	133.4	97.7	33.4	40.1	101.5	186.6	71.4	89.5	75.0	177.8	44.0	58.2	108.0
HEMO	251.1	41.1	24.6	24.8	133.7	79.8	45.1	42.1	309.3	44.6	42.4	19.8	210.7	64.7	44.6	40.4	480.3	87.1	49.0	36.4	242.2	44.4	126.2	24.3	186.7	35.7	110.1	26.8	99.7	74.0	44.3	32.7	333.8	52.5	41.7	35.8	291.0	67.8	24.9	33.4
HPLN1	305.6	1.4	1.0	1.9	954.5	3.9	0.9	2.0	164.2	10.2	1.2	3.4	650.2	0.8	0.6	1.0	500.3	0.6	1.3	0.6	532.4	3.5	1.8	0.2	160.3	0.9	2.0	0.9	149.3	0.3	0.7	3.4	27.5	1.2	0.6	2.0	203.2	298.2	0.9	4.9
HPT	190.4	116.0	33.5	32.2	176.4	42.7	25.1	46.0	73.1	67.1	131.8	57.9	194.1	84.4	25.6	44.5	46.5	500.4	93.3	36.6	24.3	103.3	7.1	21.0	99.8	41.4	143.5	157.4	106.0	58.4	26.1	54.0	425.2	33.4	41.5	64.4	319.6	131.2	59.1	65.8
HRG	395.7	17.4	8.8	29.7	125.8	8.7	8.5	117.9	232.4	27.4	20.2	8.0	306.3	34.8	19.3	56.8	474.4	131.7	22.2	43.9	428.5	60.8	6.0	7.8	322.1	8.1	13.1	10.9	62.4	29.2	9.7	26.1	345.0	5.0	19.982193449085184	66.1	222.0	242.9	11.813616521266601	44.3
HS71B	132.5	25.6	9.4	57.7	150.1	170.9	119.8	47.1	154.8	86.6	108.9	61.4	184.2	42.0	160.7	73.9	154.0	466.6	78.2	56.8	153.3	121.2	94.0	63.1	85.5	67.1	156.1	81.0	53.4	36.3	76.8	73.5	95.5	87.9	46.5	62.0	129.4	40.1	69.7	66.1
HSP7C	187.6	37.6	12.0	92.8	169.2	151.6	137.5	94.8	172.4	108.8	110.9	91.5	196.7	36.8	109.3	98.2	182.5	15.0	70.5	103.4	121.4	182.1	53.1	105.0	84.7	22.3	136.1	144.5	70.5	41.7	25.1	100.2	155.6	82.0	66.1	76.6	140.1	62.4	41.9	109.4
HSPB1	148.7	82.5	31.5	53.1	148.4	199.1	159.3	45.0	194.2	69.1	75.7	57.2	137.2	63.1	107.2	78.2	118.3	40.1	196.3	72.0	108.8	81.6	171.4	67.4	165.2	95.4	150.1	77.8	115.6	76.6	76.1	70.3	149.7	133.5	33.6	33.8	161.7	59.8	32.8	62.3
HSPB6	105.9	46.6	19.9	49.4	70.5	196.1	122.3	35.6	224.3	21.9	51.8	73.0	118.9	56.7	62.4	67.3	149.3	79.4	193.0	66.3	82.9	27.0	100.7	121.5	256.3	92.7	52.8	135.0	116.3	56.8	149.5	94.8	284.0	70.4	55.4	42.7	290.1	20.5	55.3	84.5
HTRA1	216.1	50.9	19.8	26.3	285.7	41.9	44.2	10.3	241.9	70.0	32.0	12.0	479.7	38.3	33.7	11.0	251.0	3.0	24.3	13.4	357.8	90.4	37.1	20.0	141.0	15.0	59.4	14.9	286.6	18.1	39.1	36.3	253.8	17.4	24.4	40.2	446.7	145.6	40.9	9.4
IBP5	215.8	85.9	48.8	49.2	95.3	42.6	95.1	23.4	270.3	29.7	70.2	26.0	196.4	74.6	70.3	39.1	156.4	10.5	99.2	29.5	307.5	61.5	55.1	37.1	291.4	22.7	46.7	79.7	185.7	16.3	160.6	52.9	351.4	36.2	17.5	61.9	302.5	64.4	86.1	34.4
IBP7	435.5	58.6	36.2	7.0	242.7	18.8	68.6	3.2	368.2	44.4	49.1	6.1	561.5	71.0	24.5	7.5	237.3	10.7	60.4	11.9	70.6	119.7	26.5	11.5	571.7	47.3	35.4	28.8	126.5	21.1	85.8	10.4	112.3	16.2	16.9	4.8	92.2	250.2	23.2	5.7
IC1	164.8	130.5	58.0	20.0	407.1	22.3	61.1	26.5	179.6	145.4	70.7	20.0	336.0	44.0	42.79455400485765	26.8	257.7	58.53650033802417	34.0	14.7	199.3	184.1	19.3	1.8	216.1	41.1	93.1	16.3	245.9	29.0	57.0	42.0	66.1	44.0	42.1	29.3	142.1	434.9	38.3	38.9
IGHA1	507.2	11.2	3.3	68.9	52.7	28.6	20.2	89.5	74.7	27.4	61.9	111.9	100.6	10.3	30.8	102.2	177.6	13.5	12.2	30.0	1300.6	12.9	2.2	39.2	32.8	8.7	79.9	38.8	21.445816137212162	0.7	11.530105336678945	21.2	243.5	7.1	22.1	234.9	270.7	21.6	20.5	107.7
IGHG1	310.7	9.1	5.4	50.6	198.4	53.0	63.3	33.4	74.0	28.6	51.9	31.2	157.9	21.4	23.5	44.9	254.0	36.5	96.1	30.9	761.1	35.3	2.8	15.9	42.3	22.0	74.1	34.2	55.4	19.0	3.7	21.3	138.1	13.1	20.6	28.4	977.6	30.7	19.5	110.5
IGHG2	411.8	25.2	8.2	42.2	238.1	91.2	23.5	40.6	150.0	18.8	79.8	56.0	126.8	46.2	62.3	73.1	519.3	54.4	10.2	62.8	769.8	28.1	2.2	25.6	54.8	25.2	129.4	14.0	48.2	16.7	8.4	37.2	149.5	19.7	83.2	111.3	172.7	71.9	58.2	33.4
IGHG3	451.0	16.8	7.7	82.7	168.5	58.5	49.5	32.8	151.0	25.0	82.3	36.2	256.2	36.6	32.7	38.2	319.4	51.5	60.8	37.0	833.5	14.7	11.7	17.2	50.4	18.4	75.9	32.9	34.3	21.6	8.1	55.7	169.3	20.6	39.7	70.9	395.3	23.7	27.1	84.3
IGHG4	108.5	18.4	40.8	37.2	78.5	131.2	61.3	32.3	110.6	51.3	108.0	22.9	88.5	124.9	41.4	23.6	447.4	360.6	4.5	29.6	820.6	6.3	3.4	43.7	33.8	60.3	324.5	23.8	31.6	14.7	6.6	23.3	105.6	56.2	76.9	53.9	269.9	22.6	64.0	37.0
IGKC	285.3	23.0	16.9	36.1	172.7	54.5	62.4	21.8	102.4	31.8	81.4	38.6	155.2	45.5	47.5	42.8	263.2	162.1	58.3	32.4	633.1	24.3	11.1	19.8	55.2	24.8	94.1	28.9	59.9	36.7	24.2	24.3	122.0	31.6	41.4	37.6	818.4	62.7	45.6	70.5
IGLL5	454.8	25.7	23.6	47.3	182.8	50.4	63.6	26.4	86.0	24.8	42.1	28.8	207.7	53.2	24.1	33.5	262.7	149.9	31.6	31.9	692.4	20.8	4.5	32.3	79.3	54.5	65.9	74.6	183.2	27.6	22.8	27.2	183.2	23.5	52.4	56.3	332.3	70.2	42.1	103.9
ILEU	26.2	95.0631648581839	80.1	157.5	11.8	47.8	186.6	85.7	68.5	81.64081273134342	121.3	18.7	64.0	11.6	72.98691806890744	123.0	117.6	6.4	134.1	213.4	117.1	8.2	54.8	118.8	88.8	30.5	17.1	268.9	154.4	147.1	56.4	72.9	395.8	124.5	28.4	285.0	267.9	50.3	158.2	80.6
ITIH1	256.3	28.3	11.6	267.1	104.2	84.3	86.4	165.4	52.1	388.5	70.4	92.9	50.3	32.1	34.8	242.4	132.9	14.4	43.6	155.5	181.4	268.9	2.8	135.5	16.8	24.0	165.5	123.7	43.8	30.4	15.8	103.7	34.2	93.8	27.9	72.0	78.9	61.6	51.5	154.4
ITIH2	286.9	19.2	2.0	211.6	85.2	116.5	56.2	140.9	41.7	227.5	36.6	117.7	60.0	7.4	4.9	206.5	144.3	15.1	17.7	139.9	260.1	258.8	4.2	215.4	3.9	8.0	198.0	175.5	10.5	3.1	8.0	206.0	64.2	16.9	13.5	198.6	143.7	52.1	9.9	212.1
ITIH5	284.1	1.4	9.197152084748764	147.2	81.9	90.1	19.3	267.4	163.8	189.5	63.8	116.1	70.5	22.0	40.6	133.6	84.3	11.3	7.9	79.2	97.7	310.9	21.9	193.7	39.7	11.734480339728401	293.8	62.2	16.5	13.2	11.6	178.3	70.6	10.2	46.6	347.0	41.5	60.1	18.7	291.8
KNG1	247.6	19.2	8.1	13.8	60.7	9.8	16.3	17.7	240.3	6.3	8.0	8.7	186.3	29.2	16.7	21.0	442.9	645.1	30.1	20.7	574.3	14.8	11.7	5.2	263.4	25.3	26.0	15.5	67.2	16.9	8.6	9.3	349.7	13.9	12.4	20.1	392.5	78.1	18.9	27.8
KV320	685.7	23.3	15.8	32.9	273.7	59.0	74.3	30.0	98.9	29.4	85.1	40.3	152.8	31.0	33.6	33.0	146.0	162.2	22.5	34.5	639.4	34.0	2.9	23.4	57.4	45.6	75.9	39.0	78.1	68.7	11.6	28.0	168.1	26.2	40.4	46.2	286.4	89.9	50.7	124.2
KVD40	429.9	25.1	39.7	31.2	264.6	90.3	44.2	35.0	141.9	12.7	78.9	24.6	177.3	33.4	44.0	58.4	253.8	151.4	12.5	43.4	947.7	24.7	25.83076657575008	11.5	93.9	23.5	58.9	44.1	60.5	37.1	18.3	34.8	156.1	53.57095914074248	42.2	20.4	261.3	63.3	38.1	71.4
LAMA3	84.2	49.9	75.7	258.4	43.7	115.2	89.8	290.0	56.1	26.7	72.8	208.2	71.1	61.94923367154066	41.7	255.9	53.6	60.18463503924732	64.3	145.0	81.8	83.4	94.4	296.6	119.7	26.6	53.8	93.0	55.5	18.0	121.3	151.8	42.6	100.8	55.7	296.0	16.0	50.6	100.1	140.2
LAMA4	17.9	40.4	26.0	396.7	8.9	45.5	14.0	440.8	11.5	52.6	16.9	329.1	9.1	40.9	51.3	329.7	21.9	13.0	23.4	200.6	16.4	56.5	15.7	289.9	8.7	22.5	38.5	190.8	29.7	41.6	41.2	191.1	27.2	14.0	60.7	330.7	45.2	15.1	26.3	447.9
LAMA5	119.2	76.4	38.0	108.8	58.9	114.3	94.7	123.9	125.4	82.3	160.6	110.2	111.2	128.5	135.1	92.3	65.0	22.1	43.8	101.0	126.2	119.2	92.8	77.2	56.8	45.1	234.5	92.9	42.6	76.4	68.8	74.6	121.7	92.9	143.7	121.9	91.9	97.0	165.0	147.1
LAMB1	190.1	118.6	35.0	166.6	29.7	57.0	20.9	166.3	54.4	95.2	11.4	126.4	157.5	78.5	14.5	88.8	31.6	32.8	13.8	210.4	134.7	280.1	41.1	261.1	24.8	42.4	267.8	128.3	58.1	50.3	19.9	91.1	86.5	31.2	83.6	162.8	243.8	108.1	12.9	171.8
LAMB2	72.4	72.6	43.9	182.9	38.5	72.8	64.1	236.8	85.4	55.3	111.9	186.2	79.4	118.1	100.4	177.2	48.1	23.5	49.1	110.5	61.5	67.7	88.0	169.7	47.8	56.9	123.8	130.6	34.1	51.7	105.5	120.8	86.6	71.7	123.3	228.2	61.8	68.3	129.0	243.8
LAMC1	87.1	82.2	55.6	156.0	40.6	66.5	94.1	203.8	76.4	63.3	127.9	158.8	67.2	151.5	93.2	138.9	45.5	34.3	56.4	116.0	55.0	86.8	96.8	150.2	34.7	61.7	105.4	150.8	40.2	82.4	90.9	111.0	77.8	127.5	160.8	172.4	77.5	74.0	152.0	176.9
LEG1	139.6	98.5	90.6	93.4	110.9	88.5	157.5	56.6	134.5	92.8	129.6	59.6	146.6	95.8	136.0	84.3	117.4	62.8	149.8	81.6	79.2	38.1	154.6	83.8	105.9	83.8	75.0	105.8	111.3	86.5	130.5	75.2	99.5	120.1	108.9	65.3	88.0	85.3	96.1	80.2
LEG3	131.3	75.7	87.3	156.8	100.3	113.4	80.9	104.8	100.1	67.4	91.9	105.1	105.1	26.9	90.6	171.2	132.7	32.7	189.4	135.8	126.6	88.6	62.8	80.3	92.1	50.5	56.2	167.6	143.5	52.9	102.6	141.1	90.0	48.8	87.1	161.7	75.3	62.6	67.7	142.7
LG3BP	370.9	121.3	0.5	25.1	379.5	30.9	5.7	29.4	282.9	133.2	8.8	24.8	513.9	17.1	1.1	41.6	125.0	4.9	10.4	18.1	179.8	420.7	4.4	14.5	180.6	2.2	148.8	6.1	124.7	6.8	3.0	25.8	136.9	6.4	4.5	16.1	452.4	83.6	5.3	32.3
LOXL1	308.2	137.3	36.4	43.8	128.7	81.2	31.4	15.9	162.1	124.7	43.4	25.3	83.9	355.1	11.3	36.8	123.1	30.5	35.9	19.5	161.4	237.1	35.6	11.5	134.9	130.5	138.1	23.8	321.8	56.5	34.4	31.6	197.0	91.4	31.9	47.9	129.3	247.7	66.1	37.0
LOXL3	224.4	60.4	43.72314258148851	68.6	80.6	33.7	162.9	192.8	219.9	77.9	205.7	34.6	266.7	89.6	69.8	121.1	168.6	118.3199065207691	120.4	47.1	132.7	16.2	65.0	39.8	39.7	21.3	62.6	98.7	129.6	85.29282699095204	82.8	57.0	131.0	106.7	161.4	60.6	87.6	121.6	185.6	155.6
LTBP1	419.0	53.0	31.8	24.6	182.1	32.7	43.2	11.8	314.5	79.8	53.4	14.6	218.0	62.2	22.2	24.5	184.0	10.8	63.7	15.7	222.7	86.3	15.5	31.0	409.1	30.3	91.9	30.5	275.5	32.1	63.8	24.4	192.1	30.9	44.9	31.2	249.6	219.2	24.3	33.4
LTBP2	402.4	127.3	35.0	18.0	249.4	29.4	36.9	14.5	223.9	94.3	56.6	13.0	273.3	47.2	27.2	18.5	307.6	20.7	82.3	10.7	135.0	72.0	17.2	14.5	427.2	34.4	31.3	22.2	207.6	37.9	63.4	17.8	187.6	32.6	23.5	7.4	300.1	222.7	39.2	18.3
LTBP4	428.1	113.9	11.3	41.1	257.1	13.6	24.1	6.6	542.1	66.0	26.1	6.9	359.6	33.7	7.9	18.2	138.6	5.6	41.4	10.3	130.8	125.2	7.1	10.5	544.1	29.3	63.4	21.5	165.0	25.1	22.9	17.7	203.6	34.0	8.1	11.0	97.0	307.9	9.4	14.1
LUM	72.0	101.4	68.0	189.5	47.7	59.8	86.0	124.5	112.5	65.7	58.3	162.4	59.5	33.0	118.2	215.4	137.7	59.3	84.7	121.3	121.8	20.1	74.0	99.8	67.5	27.1	33.2	142.9	126.3	40.7	83.4	147.5	193.5	72.0	92.8	155.5	181.5	57.7	174.9	110.9
LYOX	203.9	76.7	125.5	137.5	74.7	62.3	116.1	159.0	48.1	90.0	91.8	208.8	37.9	43.7	108.3	186.1	44.5	120.1	83.7	151.8	29.7	29.9	71.7	99.7	58.1	98.7	46.4	131.0	105.0	41.0	133.5	147.9	68.0	93.0	101.7	79.8	133.5	103.6	162.2	95.3
LYSC	145.3	37.1	12.0	3.9	79.8	14.5	29.2	3.1	231.6	27.0	19.9	2.5	144.2	72.2	12.6	3.9	471.9	7.9	28.1	4.0	843.9	29.1	8.7	4.4	309.9	8.9	28.0	22.1	410.2	10.5	15.9	7.5	264.6	17.4	8.0	17.1	581.9	45.1	10.1	6.1
MFAP2	366.5	150.2	48.5	25.2	227.6	62.161400932437246	59.3	15.5	309.8	81.9	26.4	16.7	317.3	33.6	7.4	28.2	300.9	44.2	76.6	15.5	98.9	88.7	9.8	32.3	358.9	71.0	37.3	36.8	281.4	97.6	58.4	11.4	156.5	53.9	19.7	6.8	232.2	172.2	24.8	18.668698744600217
MFAP4	277.7	31.2	5.4	56.2	293.1	20.7	11.2	25.7	390.9	60.4	11.3	27.7	355.6	5.9	5.3	63.7	251.6	4.5	8.2	24.1	366.1	63.7	5.8	9.3	189.3	3.3	128.3	18.4	307.9	9.7	19.5	37.8	363.1	17.3	28.5	32.4	146.4	232.2	14.9	75.8
MFAP5	78.1	72.0	171.7	92.4	27.4	48.7	83.3	33.6	80.1	126.6	144.8	82.3	43.4	35.4	78.8	70.1	57.0	51.7	160.1	91.7	16.4	12.3	48.2	108.9	134.7	229.6	9.8	250.9	51.0	55.4	220.4	112.2	93.4	100.2	320.7	65.7	51.0	51.4	331.3	107.5
MFGM	354.1	28.3	8.0	8.8	232.5	80.5	18.2	14.1	460.1	144.4	48.8	13.8	592.7	28.2	44.1	8.0	171.3	4.8	9.1	8.3	529.7	101.0	23.2	8.9	136.0	8.3	102.5	6.5	146.8	17.3	18.5	27.2	195.5	21.7	25.3	20.0	132.5	162.7	26.3	11.8
MGP	143.7	72.8	35.7	18.1	139.5	73.5	37.2	19.4	292.5	45.8	40.6	19.5	339.9	56.7	152.1	19.8	129.1	56.2	36.5	10.0	420.2	76.6	55.3	14.3	189.8	50.6	41.5	21.6	201.4	45.1	124.4	22.8	341.1	28.0	48.2	16.9	345.4	140.6	57.1	20.6
MIF	298.6	18.2	9.5	46.2	14.8	461.3	144.1	40.8	445.0	19.9	21.1	28.3	200.5	7.4	21.4	20.2	322.5	71.9	24.0	45.36636365026235	108.2	4.8	44.6	42.9	304.3	54.1	383.2	46.7	103.2	17.0	28.1	44.0	204.5	51.9	22.3	31.9	196.4	52.0	21.5	22.5
MIME	95.5	121.3	43.6	97.0	101.7	91.3	100.9	109.8	133.2	98.1	66.6	142.9	98.2	24.7	104.4	180.8	154.0	58.8	78.6	82.2	180.7	52.8	63.9	93.1	76.6	25.1	47.5	85.8	167.2	65.2	67.0	103.6	232.1	69.6	102.5	110.6	154.0	105.9	108.9	104.2
MMRN2	149.6	8.4	48.2	147.6	59.4	33.5	52.7	87.9	97.9	147.9	108.3	105.4	14.1	25.6	610.4	50.2	21.0	34.9	34.8	34.7	349.3	52.0	250.44948626975685	228.0	23.4	42.6	21.7	139.5	67.4	53.2	52.2	120.3	318.0	76.5	43.3	205.9	205.0	24.9	24.0	80.0
MUC18	47.9	101.9	95.7	136.3	2.5	108.8	114.7	77.0	65.4	59.3	85.6	83.7	32.5	171.0	195.9	102.2	26.5	43.7	115.2	84.9	29.7	175.8	291.5	214.0	29.7	82.6	130.9	215.3	58.3	62.9	139.2	92.4	75.2	54.5	167.5	76.6	33.9	124.6	104.3	90.4
NID1	49.4	72.4	31.6	162.2	34.1	64.0	144.9	204.8	41.0	56.4	157.7	217.2	44.0	112.5	147.1	129.3	27.1	42.0	51.6	161.6	23.7	42.8	76.1	87.8	14.4	51.7	87.5	187.7	34.6	85.5	67.2	130.0	54.9	163.3	227.3	159.3	17.6	66.1	292.8	179.0
NID2	73.1	48.9	20.7	246.9	22.6	47.3	66.0	254.1	56.6	42.7	89.3	300.3	36.4	18.5	98.8	248.7	35.3	7.9	44.8	319.0	51.2	46.9	19.6	159.2	24.9	17.7	41.0	271.0	39.0	15.0	14.3	174.7	111.9	43.9	89.7	317.3	86.4	28.8	66.0	303.5
NOV	507.9	18.3	5.8	7.4	128.3	15.1	23.1	3.7	472.4	22.8	37.7	4.2	325.3	4.2	18.0	4.1	246.2	3.5	83.5	6.1	73.9	46.0	16.7	12.0	1170.1	4.6	12.9	16.3	332.6	2.8	85.3	9.523497722090337	112.8	24.7	14.1	2.3	43.2	79.6	10.6	1.9
NPNT	152.6	49.1	20.2	33.0	123.9	31.2	65.0	22.223654393249994	496.2	45.1	34.6	10.6	360.0	50.5	9.2	9.9	260.0	2.3	44.4	27.37171834094755	344.1	154.9	55.3	12.4	293.4	7.3	97.4	41.1	295.2	14.4	49.9	15.3	276.8	34.4	30.6	50.1	233.3	148.7	34.0	13.7
OLFL1	24.8	5.0	20.5	474.4	77.3	60.8	46.7	305.7	55.5	57.7	47.6	334.9	67.1	8.2	46.8	236.1	77.0	2.3	9.7	279.7	81.2	4.3	10.0	218.7	12.9	3.3	9.7	176.5	29.5	12.2	4.3	219.9	47.4	29.9	24.4	357.1	74.8	7.4	22.7	415.7
OLFL3	50.4	6.1	4.4	315.8	173.5	47.2	25.2	230.3	180.1	31.8	34.1	202.5	143.3	6.6	32.2	170.5	155.1	13.9	16.2	234.9	253.3	8.8	6.3	195.9	42.0	10.8	30.4	171.8	70.1	26.8	11.8	173.7	159.2	20.5	37.0	262.8	151.0	7.7	21.2	264.7
PA2GA	40.9	36.9	88.7	38.5	187.4	26.8	191.2	12.2	212.7	95.4	166.0	14.7	135.9	120.8	145.9	21.5	72.6	37.6	236.8	34.7	115.6	15.9	88.4	22.0	49.9	93.1	86.5	117.8	97.9	57.7	146.4	52.4	294.4	183.1	108.9	50.7	281.8	44.6	133.7	41.8
PCOC1	389.0	18.5	4.5	9.3	169.2	47.5	95.8	32.9	258.5	40.4	107.7	37.5	412.2	15.4	54.8	49.1	309.4	123.4	51.4	16.7	255.1	38.0	9.6	15.8	61.5	17.4	62.6	17.8	163.6	27.0	21.8	14.8	490.4	24.1	44.8	20.6	302.2	69.5	17.0	83.4
PEDF	290.9	57.2	55.8	27.2	75.1	194.8	83.8	35.1	178.9	57.6	53.8	40.69235801712962	212.8	49.3	53.6	29.9	339.6	146.0	66.6	36.9	253.9	82.3	97.2	27.2	147.9	118.1	197.1	32.8	121.6	124.2	73.4	43.2	118.3	80.7	59.6	30.6	173.5	75.4	39.8	58.1
PGBM	155.2	62.8	20.8	129.0	169.7	99.2	91.2	117.4	89.8	190.6	138.5	110.8	145.6	111.7	68.1	101.8	120.5	12.8	34.0	97.6	123.3	230.8	31.3	104.2	42.1	29.8	300.4	93.9	37.2	48.3	28.3	91.7	80.4	58.8	115.7	124.3	131.2	81.1	77.9	102.6
PGCA	205.5	296.2	138.7	14.9	305.9	32.3	85.7	15.2	28.8	448.2	118.8	13.4	175.0	101.4	40.5	17.2	381.9	3.8	77.4	14.3	155.2	283.3	31.0	32.7	101.5	36.1	44.3	31.3	96.2	47.4	115.8	56.4	9.7	19.0	73.9	25.2	136.5	127.2	46.8	15.6
PGS1	80.3	43.9	35.6	150.3	118.6	62.5	101.6	101.0	132.1	115.3	98.6	97.0	95.4	44.6	128.5	171.9	144.7	17.3	54.1	110.2	195.5	27.8	58.2	104.6	68.8	11.9	64.9	155.1	156.0	40.1	86.2	154.1	156.4	77.3	111.2	129.1	173.5	94.5	136.0	95.4
PGS2	9.8	158.5	171.2	115.8	8.6	78.5	123.4	157.1	26.9	68.4	98.5	155.2	14.6	70.3	170.4	136.4	14.6	253.8	125.1	138.6	15.1	25.7	141.5	75.1	25.9	94.6	30.5	89.3	51.6	70.9	201.7	124.0	85.4	140.0	146.1	154.9	33.1	48.5	238.0	112.4
PLMN	99.4	62.4	38.7	106.9	84.8	101.3	31.1	271.0	101.8	51.5	36.7	246.5	130.5	140.5	30.1	157.8	150.5	153.9	92.1	96.2	266.2	18.0	33.0	15.4	37.4	112.3	63.5	51.4	59.5	77.1	52.8	42.8	157.8	51.8	172.7	144.4	192.0	42.4	98.4	127.9
PODN	127.6	77.0	32.1	95.5	74.6	279.8	77.2	131.3	156.7	38.1	94.3	52.4	83.3	142.4	110.4	143.1	99.6	73.2	36.1	70.0	160.0	18.6	32.2	135.8	127.8	18.5	67.0	76.3	155.2	19.6	69.9	155.5	291.7	62.9	74.1	70.4	48.2	142.3	119.3	160.0
POSTN	338.7	26.5	42.0	278.4	20.4	123.4	24.2	36.4	26.7	163.3	42.3	48.5	53.1	12.6	4.0	513.7	166.4	8.2	34.3	47.8	87.1	170.5	18.0	368.9	17.9	18.1	386.4	283.3	30.5	6.0	27.7	82.2	58.9	22.1	29.2	110.8	74.1	108.6	14.5	74.4
PRELP	77.1	28.9	22.0	247.7	89.7	55.3	81.5	233.1	93.7	45.3	77.2	217.3	87.9	9.7	120.3	286.5	144.8	19.6	44.9	176.3	154.2	13.3	38.6	136.6	74.9	6.3	36.6	173.8	104.6	19.7	28.1	266.5	101.9	38.1	68.0	223.1	106.5	49.7	62.3	138.0
RNAS4	84.0	19.1	8.5	10.2	173.0	14.9	18.1	5.6	207.5	16.3	20.6	3.3	227.0	47.9	11.6	4.6	295.8	10.4	5.6	7.1	589.7	17.2	9.8	10.4	383.3	5.0	25.7	11.1	450.8	13.8	11.8	5.5	480.8	11.7	12.7	10.1	669.3	66.8	16.2	7.3
S10A4	201.5	23.9	12.8	83.1	77.9	155.9	28.1	181.3	273.9	77.3	17.0	145.4	231.4	98.0	34.3	68.2	148.9	101.8	24.4	78.5	217.1	130.5	25.6	54.9	162.9	50.0	217.9	39.4	80.2	27.7	6.9	135.7	238.0	44.2	21.5	137.9	180.9	75.9	28.5	60.5
S10A6	163.4	8.7	4.6	47.5	92.4	192.8	14.0	95.7	279.2	90.3	43.2	45.7	272.9	69.3	26.3	36.4	242.8	35.8	30.7	63.7	169.4	97.5	20.5	77.2	364.3	42.1	221.8	25.3	146.4	18.9	29.7	48.1	193.0	37.5	22.8	68.1	389.5	99.8	17.5	55.2
S10A9	46.2	197.7	89.2	45.6	81.96270492932452	110.5	29.1	40.7	87.1	6.8	97.4	33.2	15.2	166.4	79.9	35.4	158.7	444.1	84.2	50.6	70.3	10.4	35.6	205.3	6.1	104.1	26.5	29.3	42.9	23.3	49.2	16.4	768.1	64.9	127.3	27.1	218.7	208.7	122.8	24.9
S10AA	197.0	71.8	37.2	58.1	131.3	199.4	58.4	81.1	156.2	145.4	51.7	57.9	227.3	45.1	65.9	55.0	263.9	103.6	93.5	83.8	193.4	25.3	43.9	50.5	162.3	92.9	72.3	70.1	157.8	10.0	47.7	46.4	200.0	112.4	47.0	80.4	206.8	94.6	60.9	41.8
S10AB	214.6	20.5	24.3	26.7	164.5	175.5	94.2	46.7	273.0	41.2	38.3	31.82634458727725	283.1	101.9	74.3	22.0	219.5	54.8	29.0	35.2	291.1	27.4	77.1	36.3	203.0	47.1	251.9	31.869235203093144	151.8	30.8	39.7	37.1	247.9	115.5	65.6	20.5	213.4	140.9	44.4	19.3
S10AD	258.6	59.4	71.28454116554632	41.7	55.6	262.8	91.2	44.9	213.0	54.9	48.1	26.2	221.9	16.4	21.5	48.6	265.8	331.3	77.8	67.3	75.4	83.5	87.9	72.4	370.0	88.5	82.9	70.8	54.0	26.1	69.9	80.9	185.8	30.6	28.6	48.0	243.5	49.9	10.5	33.9
SAMP	146.3	42.5	15.8	68.7	254.8	113.1	25.8	53.9	99.9	240.5	36.0	43.0	311.6	106.7	27.9	27.5	214.6	4.8	37.9	31.2	302.9	176.1	24.7	20.9	95.2	29.4	145.3	15.7	255.1	19.8	26.5	40.0	174.3	123.7	22.7	64.9	262.7	222.0	28.7	47.0
SAP	154.6	95.8	103.5	11.9	97.8	48.2	74.3	19.0	336.0	146.9	63.5	16.4	194.9	76.2	62.8	11.5	223.0	48.6	57.1	21.3	197.2	71.6	61.4	10.9	368.0	110.1	55.0	19.4	116.9	99.1	101.9	16.0	230.8	103.3	64.7	43.5	264.1	129.6	65.3	8.0
SBSPO	52.4	111.6	126.4	148.1	15.1	71.2	146.7	123.9	42.1	62.3	168.3	169.0	39.6	163.0	115.1	102.6	22.3	99.7	118.7	122.8	20.3	64.6	190.7	56.1	60.4	143.6	83.3	120.9	25.9	119.5	167.0	97.8	41.8	137.0	154.8	91.9	39.7	86.2	191.5	86.0
SCUB3	343.5	147.5	23.1	39.1	207.6	82.6	39.7	19.4	378.8	156.5	49.8	9.5	110.2	89.5	37.8	46.8	95.7	33.8	21.5	68.6	142.1	205.8	12.8	45.8	181.8	30.354489320812032	135.0	40.4	409.2	25.9	58.2	41.9	165.4	20.5	31.3	38.7	165.1	181.0	39.2	58.7
